Year,Sale Amount
1999.0,95000.0
2001.0,3178363466.0
2002.0,15603574587.0
2003.0,17204337985.0
2004.0,25162010407.0
2005.0,30213328103.0
2006.0,21598216379.0
2007.0,22222179014.4
2008.0,14121358206.0
2009.0,11776152059.0
2010.0,13839112444.0
2011.0,11045896195.0
2012.0,12999027166.22
2013.0,15381654717.0
2014.0,16593464814.0
2015.0,19132205500.67
2016.0,22754519822.0
2017.0,18950522557.13
2018.0,18447125019.3
2019.0,20841454281.37
2020.0,27216903542.94
2021.0,40250922111.75
2022.0,28590285173.41
2023.0,17762306365.72
